
2025/03/12 (19:44:07) | ===> btop++ v.1.4.0
2025/03/12 (19:44:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (19:58:46) | ===> btop++ v.1.4.0
2025/03/12 (19:58:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:11:38) | ===> btop++ v.1.4.0
2025/03/12 (20:11:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:28:49) | ===> btop++ v.1.4.0
2025/03/12 (20:28:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:32:55) | ===> btop++ v.1.4.0
2025/03/12 (20:32:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:35:02) | ===> btop++ v.1.4.0
2025/03/12 (20:35:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:36:05) | ===> btop++ v.1.4.0
2025/03/12 (20:36:05) | WARNING: Intel GPU: Failed to initialize PMU
